datetime,Unnamed: 0,year,DOY,time,Ta,HR,VPD,R,meanWS,P,maxWS
2024-04-03 21:00:00,221397,2024,94,2100,10.67,100.0,,,,0.0,
2024-04-03 22:00:00,221398,2024,94,2200,10.12,100.0,,,,0.0,
2024-04-03 23:00:00,221399,2024,94,2300,11.0,100.0,,,,0.0,
2024-04-04 00:00:00,221400,2024,95,0,11.18,100.0,,,,0.0,
2024-04-04 01:00:00,221401,2024,95,100,11.5,100.0,,,,0.0,
2024-04-04 02:00:00,221402,2024,95,200,11.18,100.0,,,,0.0,
2024-04-04 03:00:00,221403,2024,95,300,11.1,100.0,,,,0.0,
2024-04-04 04:00:00,221404,2024,95,400,11.01,100.0,,,,0.0,
2024-04-04 05:00:00,221405,2024,95,500,10.99,100.0,,,,0.0,
2024-04-04 06:00:00,221406,2024,95,600,10.33,100.0,,,,0.0,
2024-04-04 07:00:00,221407,2024,95,700,9.61,81.0,,,,0.0,
2024-04-04 08:00:00,221408,2024,95,800,10.05,57.0,,,,0.0,
2024-04-04 09:00:00,221409,2024,95,900,15.09,50.0,,,,0.0,
2024-04-04 10:00:00,221410,2024,95,1000,17.64,47.0,,,,0.0,
2024-04-04 11:00:00,221411,2024,95,1100,17.87,39.0,,,,0.0,
2024-04-04 12:00:00,221412,2024,95,1200,19.74,38.0,,,,0.0,
2024-04-04 13:00:00,221413,2024,95,1300,20.38,39.0,,,,0.0,
2024-04-04 14:00:00,221414,2024,95,1400,20.79,46.0,,,,0.0,
2024-04-04 15:00:00,221415,2024,95,1500,20.34,45.0,,,,0.0,
2024-04-04 16:00:00,221416,2024,95,1600,18.39,49.0,,,,0.0,
2024-04-04 17:00:00,221417,2024,95,1700,17.42,58.0,,,,0.0,
2024-04-04 18:00:00,221418,2024,95,1800,15.85,63.0,,,,0.0,
2024-04-04 19:00:00,221419,2024,95,1900,14.79,63.0,,,,0.0,
2024-04-04 20:00:00,221420,2024,95,2000,14.94,57.0,,,,0.0,
2024-04-04 21:00:00,221421,2024,95,2100,13.4,61.0,,,,0.0,
2024-04-04 22:00:00,221422,2024,95,2200,12.73,59.0,,,,0.0,
2024-04-04 23:00:00,221423,2024,95,2300,12.53,54.0,,,,0.0,
2024-04-05 00:00:00,221424,2024,96,0,12.86,53.0,,,,0.0,
2024-04-05 01:00:00,221425,2024,96,100,12.42,54.0,,,,0.0,
