0,1,2,3,4
-6.306835872511126,-5.255696560425939,-4.851412209623944,-4.504882766079376,-4.204557248340751
-0.14109738465644944,-0.11758115388037454,-0.10853644973573033,-0.10078384618317818,-0.09406492310429963
-3.2161363203362665,-2.680113600280222,-2.473951015643282,-2.297240228811619,-2.144090880224178
-9.044193813133603,-7.536828177611337,-6.957072163948925,-6.4601384379525735,-6.029462542089069
-4.270051376644222,-3.5583761472035187,-3.2846549051109397,-3.0500366976030158,-2.846700917762815
-2.2989554398041196,-1.9157961998367663,-1.7684272613877845,-1.6421110284315141,-1.5326369598694132
-3.885672834396235,-3.238060695330196,-2.988979103381719,-2.775480595997311,-2.5904485562641564
-13.1813725182407,-10.984477098533915,-10.139517321723615,-9.415266084457643,-8.787581678827133
-6.031898872656834,-5.0265823938806955,-4.639922209736026,-4.308499194754882,-4.021265915104556
-11.726045133569134,-9.771704277974278,-9.020034718130102,-8.375746523977952,-7.817363422379422
-19.735677088716347,-16.44639757393029,-15.181290068243344,-14.096912206225964,-13.157118059144233
4.899965435550917,4.083304529625765,3.7692041811930124,3.4999753111077982,3.2666436237006113
-20.442139518458387,-17.035116265381987,-15.724722706506451,-14.601528227470277,-13.628093012305591
-4.756556058951445,-3.9637967157928706,-3.658889276116496,-3.3975400421081754,-3.1710373726342964
