,Control,Drought
0,1.4559196859878065,1.1314477365226745
1,1.4559196859878067,1.115423719671686
2,1.55148664701164,1.1233421139008146
3,1.5141747782730353,1.1861230716248143
4,1.4837987876227177,1.1773127004003887
5,1.5947069091064827,1.1049046843229924
6,1.4057382175265427,1.1873508323001487
7,1.5102309414484663,1.0520316486803198
8,1.4347406858305694,1.1049046843229922
9,1.6095945222087076,1.1149546149417602
10,1.455919685987807,1.1149546149417604
11,1.3503296849251745,1.1042382657840994
12,1.455919685987807,1.1106771376026354
13,1.4559196859878067,1.1233421139008146
14,1.6642504132194464,1.1149546149417604
15,1.4559196859878067,1.1149546149417606
16,1.1369221626630368,1.097802440613831
17,1.4972370176653078,1.1149546149417604
18,1.2997987534733604,1.1149546149417604
19,1.6230440028077417,1.1292498643872988
20,1.3407127147071163,0.9638159840903631
21,1.429273828976164,1.1477269175474298
22,1.5034036176088608,1.1118481177405373
23,1.3251219233339415,1.1278077053746736
24,1.2493140779380734,1.114954614941761
25,1.4241329945240448,1.1282895483265618
26,1.462883249406987,1.1149546149417606
27,1.4541868951137473,1.1184083459842808
28,1.4336200381682327,1.1149546149417604
29,1.528270290231682,1.1149546149417604
30,1.4559196859878067,1.0862522119795432
31,1.4212010605551864,0.957624291666487
32,1.1590546400542716,1.1042382657840997
33,1.4559196859878067,1.1653745090591099
34,1.4559196859878063,0.9897214523364752
35,1.5529526814215004,1.2123010135151473
36,1.4559196859878067,1.1297834539573557
37,1.4559196859878065,1.0957089916966125
38,1.4559196859878065,1.1149546149417604
39,1.6202675576222474,1.184397913364667
40,1.515575970253277,0.8751287301334328
41,1.5772150049791014,1.1049046843229924
42,1.619293827846599,1.1984134945610596
43,1.4559196859878067,1.1154237196716856
44,1.326080348923886,1.1216000324193485
45,1.419539486830214,1.1045762655605067
46,1.4837987876227179,0.9670420157235702
47,1.5667287175954376,1.0970572984259268
48,1.514174778273035,1.1149546149417606
49,1.4559196859878067,1.1884176969914408
50,1.4248207187332262,1.1104832768355424
51,1.2176402620525189,1.1124831505606099
52,1.4559196859878067,1.1300338807800139
53,1.455919685987807,0.9826198608312102
54,1.455919685987806,0.9743407347186059
55,1.4347406858305691,1.111069256962908
56,1.4240648846405288,1.1065441433596848
57,1.470096026955103,1.1149546149417606
58,1.4559196859878067,1.1149546149417602
59,1.5278310095105998,1.104238265784099
60,1.6607356889798786,0.9616916299682066
61,1.5851206174920374,1.1242565164520735
62,1.462883249406987,0.9638159840903634
63,1.4559196859878067,1.1149546149417604
64,1.4559196859878067,1.1000832456504552
65,1.3387381926154238,1.1968986258912233
66,1.5811881142938222,1.1187009669836439
67,1.494925593420063,1.1049046843229922
68,1.5772150049791018,1.114954614941761
69,1.4541868951137475,1.1181809450900437
70,1.855508282175484,1.1149546149417602
71,1.6184382944058533,1.1630400723320868
72,1.6095945222087078,1.1149546149417608
73,1.4138436696554313,1.1149546149417604
74,1.4282991394845657,1.12139607832511
75,1.360187148566229,1.1939096008277568
76,1.5362908799911308,1.1184083459842804
77,1.4541868951137469,1.118069367217526
78,1.3959343967831326,1.1154237196716859
79,1.3260803489238857,1.1149546149417606
80,1.5364985309744443,1.11840834598428
81,1.5454079861532162,1.0836926209324043
82,1.4241329945240453,1.2123010135151464
83,1.4241329945240453,1.1149546149417604
84,1.4559196859878067,1.1049046843229922
85,1.5141747782730357,1.1106771376026352
86,1.5690944925298425,1.1149546149417606
87,1.5093693909136117,1.191791812941844
88,1.4347406858305694,1.1149546149417604
89,1.455919685987807,1.1149546149417606
90,1.4559196859878067,1.1278077053746733
91,1.4559196859878067,1.1149546149417606
92,1.5279714227169194,1.2134653544238863
93,1.4282991394845659,1.0978024406138314
