0,1,2,3,4
-2.4232301781769903,-2.0193584818141583,-1.8640232139823,-1.7308786986978502,-1.6154867854513266
-3.087330027939079,-2.572775023282566,-2.3748692522608303,-2.2052357342421995,-2.0582200186260526
-4.703466671242141,-3.91955555936845,-3.6180512855708766,-3.359619050887243,-3.13564444749476
-7.258091961775271,-6.04840996814606,-5.583147662904054,-5.184351401268051,-4.838727974516847
-7.4913338963021046,-6.242778246918421,-5.7625645356170025,-5.350952783072932,-4.994222597534736
4.853073033469976,4.044227527891646,3.7331331026692123,3.46648073819284,3.2353820223133174
-4.613579181029278,-3.8446493175243988,-3.5489070623302132,-3.2954137007351987,-3.0757194540195187
-8.772241649933731,-7.310201374944777,-6.747878192256716,-6.265886892809808,-5.848161099955822
-8.032621726930657,-6.693851439108882,-6.178939789946659,-5.737586947807613,-5.355081151287105
3.55117544429252,2.959312870243767,2.731673418686554,2.536553888780372,2.3674502961950137
-2.615929429499832,-2.17994119124986,-2.012253407307563,-1.8685210210713086,-1.7439529529998878
-2.4676100525712554,-2.056341710476046,-1.8981615789009658,-1.7625786089794684,-1.645073368380837
-18.844301018011173,-15.703584181675978,-14.4956161677009,-13.460215012865124,-12.56286734534078
-10.487458958385984,-8.73954913198832,-8.067276121835372,-7.491042113132846,-6.991639305590656
