"time","F14C"
1941,0.979892903123934
1941.25,0.979728195873278
1941.5,0.98016323887737
1941.75,0.980175944072545
1942,0.980006581115588
1942.25,0.979518580407343
1942.5,0.978977625773426
1942.75,0.978557487771962
1943,0.97816676214117
1943.25,0.977976948765736
1943.5,0.978107801392752
1943.75,0.978428797210558
1944,0.978910711565334
1944.25,0.979353148556785
1944.5,0.97941019533198
1944.75,0.979129183163216
1945,0.978601865650177
1945.25,0.977951072334652
1945.5,0.977463299439839
1945.75,0.977404831727336
1946,0.977474976850134
1946.25,0.977692437772131
1946.5,0.977973897147311
1946.75,0.978144386746896
1947,0.978204725122276
1947.25,0.978275305160825
1947.5,0.978349218205008
1947.75,0.978477085890327
1948,0.978434337963086
1948.25,0.978255299446192
1948.5,0.977896083907954
1948.75,0.977105324368711
1949,0.97606766235783
1949.25,0.975051566539027
1949.5,0.974003570247716
1949.75,0.973330953572599
1950,0.972851529788252
1950.25,0.972564748012883
1950.5,0.972692931913688
1950.75,0.973001087289891
1951,0.97347018843688
1951.25,0.973901419034749
1951.5,0.974128304043212
1951.75,0.973994378373184
1952,0.973816624397263
1952.25,0.973780393668241
1952.5,0.974363942043636
1952.75,0.975531534022554
1953,0.977157855012132
1953.25,0.978784136991572
1953.5,0.979948429536399
1953.75,0.980452988615428
1954,0.980811842285289
1954.25,0.981834480934222
1954.5,0.983930222662382
1954.75,0.987860794278487
1955,0.993034407336163
1955.25,0.998968405639506
1955.5,1.00498982595319
1955.75,1.01069389952596
1956,1.01630307570976
1956.25,1.02226205717104
1956.5,1.02898086019556
1956.75,1.03670078564457
1957,1.04519940737452
1957.25,1.05447939958723
1957.5,1.06403759061331
1957.75,1.07396461873353
1958,1.08560535610804
1958.25,1.10038088442209
1958.5,1.11991270215975
1958.75,1.14464674754941
1959,1.17161815972758
1959.25,1.18116297649478
1959.5,1.21285778370115
1959.75,1.21118961774117
1960,1.21734193933851
1960.25,1.19593031523108
1960.5,1.22247019252742
1960.75,1.19842215326785
1961,1.23441224620938
1961.25,1.20464213824707
1961.5,1.23398688007738
1961.75,1.20825373622107
1962,1.26558987240144
1962.25,1.26259786137164
1962.5,1.36559473773856
1962.75,1.36740380231582
1963,1.45744971842521
1963.25,1.53259999840111
1963.5,1.82069248105484
1963.75,1.88785386199155
1964,1.77358630520997
1964.25,1.73396758104214
1964.5,1.84781947820706
1964.75,1.78677531174715
1965,1.76062977079986
1965.25,1.71529166975391
1965.5,1.73282178259555
1965.75,1.70450434626804
1966,1.68042743553555
1966.25,1.65671738924095
1966.5,1.67683723354883
1966.75,1.64355120035724
1967,1.6572589284011
1967.25,1.62611823114549
1967.5,1.62206132885992
1967.75,1.59669797624308
1968,1.60442150336434
1968.25,1.55977993348396
1968.5,1.57556018712406
1968.75,1.55616047496208
1969,1.55307517490673
1969.25,1.55802661542832
1969.5,1.55582779217425
1969.75,1.5372349141047
1970,1.52000684149372
1970.25,1.50397910153886
1970.5,1.53436910379595
1970.75,1.50075079915332
1971,1.50278100725758
1971.25,1.46510215803608
1971.5,1.50281608507829
1971.75,1.48436130769561
1972,1.50952633674504
1972.25,1.46936067431257
1972.5,1.47998633419376
1972.75,1.4688218695036
1973,1.45993097307976
1973.25,1.42334173798883
1973.5,1.4508503739169
1973.75,1.42997947812753
1974,1.41744428684519
1974.25,1.41282257136796
1974.5,1.42255101242905
1974.75,1.41216014367408
1975,1.38673855167544
1975.25,1.37933781771894
1975.5,1.3946588731818
1975.75,1.38583616884708
1976,1.36142633763261
1976.25,1.34786280090721
1976.5,1.35377983898644
1976.75,1.34936106628959
1977,1.33426119985939
1977.25,1.33287904639225
1977.5,1.33659701809249
1977.75,1.33274776026743
1978,1.31758411605284
1978.25,1.32115819034184
1978.5,1.32919077416753
1978.75,1.32633265823331
1979,1.30798879014263
1979.25,1.30258858505845
1979.5,1.29671486848133
1979.75,1.29270746080583
1980,1.2757420340901
1980.25,1.26492820462084
1980.5,1.27246374091045
1980.75,1.26794170575923
1981,1.25397621279648
1981.25,1.25271118082519
1981.5,1.25993143792596
1981.75,1.26011864854587
1982,1.24918388491978
1982.25,1.23550176049712
1982.5,1.24217580820294
1982.75,1.23851829279257
1983,1.22942781942439
1983.25,1.22748475632167
1983.5,1.2321218024982
1983.75,1.22822950892218
1984,1.2121935888179
1984.25,1.2055415271067
1984.5,1.21178544321502
1984.75,1.21023337499516
1985,1.20579527541708
1985.25,1.19888756636185
1985.5,1.2034972900053
1985.75,1.19841376661495
1986,1.19028700698617
1986.25,1.18480916653229
1986.5,1.19132550856795
1986.75,1.18786666563273
1987,1.1789775231123
1987.25,1.17700060108582
1987.5,1.18646651277843
1987.75,1.17995153389397
1988,1.17142887035709
1988.25,1.16938934475045
1988.5,1.17054332981509
1988.75,1.16661248535336
1989,1.1700261892445
1989.25,1.16529017976386
1989.5,1.16175492962126
1989.75,1.16041254291756
1990,1.15633741098003
1990.25,1.15164745308108
1990.5,1.14922354987211
1990.75,1.14759076502757
1991,1.13868229027911
1991.25,1.13410808966475
1991.5,1.14054490962048
1991.75,1.1410429740555
1992,1.13360718228953
1992.25,1.1307663481051
1992.5,1.13632550708144
1992.75,1.1355200698853
1993,1.12971582374759
1993.25,1.12491682540932
1993.5,1.12709372015021
1993.75,1.12500312304548
1994,1.11867206504963
1994.25,1.11820093294603
1994.5,1.12052636883454
1994.75,1.11910534915989
1995,1.11698794280055
1995.25,1.11161164977528
1995.5,1.11293378988572
1995.75,1.11392810541222
1996,1.10916990490205
1996.25,1.1035814333309
1996.5,1.107754118345
