"time","F14C"
1941,0.966579848576807
1941.25,0.97967852060781
1941.5,0.981996185187991
1941.75,0.981624946088825
1942,0.981841904847784
1942.25,0.982615868435066
1942.5,0.983739911873737
1942.75,0.984717327850855
1943,0.985096424655508
1943.25,0.984567092441455
1943.5,0.983370602669049
1943.75,0.982034318652932
1944,0.980958323790776
1944.25,0.980427350924236
1944.5,0.980505725788346
1944.75,0.980926974417875
1945,0.981645430312532
1945.25,0.982524245016265
1945.5,0.983295563954578
1945.75,0.983914759260886
1946,0.984182287265002
1946.25,0.984002469835802
1946.5,0.983374653972471
1946.75,0.982443211798083
1947,0.981306110865886
1947.25,0.980165252585715
1947.5,0.97919128468658
1947.75,0.978562932326387
1948,0.978478713818719
1948.25,0.978962450086025
1948.5,0.979676159971198
1948.75,0.980199938891194
1949,0.979992063307985
1949.25,0.978702765734451
1949.5,0.976709643642642
1949.75,0.974673211396004
1950,0.973087213197067
1950.25,0.972415952502472
1950.5,0.972382609005367
1950.75,0.972661821214801
1951,0.972937388373279
1951.25,0.972851318392048
1951.5,0.972574933536925
1951.75,0.972197029107649
1952,0.971915430627942
1952.25,0.971889632377353
1952.5,0.97216323626196
1952.75,0.972819811126442
1953,0.97394082132681
1953.25,0.975468054362321
1953.5,0.977183148958642
1953.75,0.978812837520901
1954,0.979943399296821
1954.25,0.980409304727526
1954.5,0.980212515028959
1954.75,0.979681978370554
1955,0.978906546772802
1955.25,0.978221832171596
1955.5,0.978625345129878
1955.75,0.98101266945306
1956,0.986725946142885
1956.25,0.996270241762035
1956.5,1.00830428693454
1956.75,1.02112813600953
1957,1.03306750682817
1957.25,1.04285983093302
1957.5,1.05177753460995
1957.75,1.06196800556366
1958,1.07504538273861
1958.25,1.09238305642195
1958.5,1.11220871687131
1958.75,1.1321288504245
1959,1.14975312523669
1959.25,1.16339972980546
1959.5,1.17359696712787
1959.75,1.18167000906567
1960,1.18900016771465
1960.25,1.19648235444613
1960.5,1.20336126483983
1960.75,1.20852550657379
1961,1.21084008922183
1961.25,1.21001355997909
1961.5,1.20897768152531
1961.75,1.21137319936305
1962,1.22092108182159
1962.25,1.24070927586022
1962.5,1.27103064389961
1962.75,1.31153707661894
1963,1.36198892463529
1963.25,1.42086901841417
1963.5,1.48316122055182
1963.75,1.5426182890994
1964,1.59290570848013
1964.25,1.62936548974228
1964.5,1.65255259744428
1964.75,1.66440858030638
1965,1.66687229477256
1965.25,1.66219582130378
1965.5,1.65316623565023
1965.75,1.64279340136488
1966,1.63412768516009
1966.25,1.62920507182331
1966.5,1.62679929107705
1966.75,1.62443623114418
1967,1.61986218584734
1967.25,1.61165508644871
1967.5,1.60130611206403
1967.75,1.5910010964639
1968,1.58309199552385
1968.25,1.57897960538597
1968.5,1.57707544010995
1968.75,1.57485878347664
1969,1.56985200276094
1969.25,1.56055904752118
1969.5,1.54849568554257
1969.75,1.53654525308251
1970,1.52701980398715
1970.25,1.52211471356893
1970.5,1.52065955287214
1970.75,1.52088069123806
1971,1.52119707723526
1971.25,1.52005778845825
1971.5,1.51687911674698
1971.75,1.51130688719197
1972,1.50298992819239
1972.25,1.49144326236085
1972.5,1.47693281191909
1972.75,1.46450724580899
1973,1.45674484429681
1973.25,1.44814108368052
1973.5,1.43673332474558
1973.75,1.43068378891664
1974,1.4218085821566
1974.25,1.41206950756334
1974.5,1.39227021179469
1974.75,1.39976187677726
1975,1.39893683841931
1975.25,1.39334537022588
1975.5,1.38475317964024
1975.75,1.36970360937456
1976,1.37207228337311
1976.25,1.36581670330971
1976.5,1.35169280938344
1976.75,1.34254453375137
1977,1.33335016948349
1977.25,1.33987544244158
1977.5,1.33019998135512
1977.75,1.32579055989704
1978,1.33382674839035
1978.25,1.32119107514599
1978.5,1.31196707548994
1978.75,1.32146305948404
1979,1.31651040373919
1979.25,1.30097548132062
1979.5,1.29582372596332
1979.75,1.29668984726159
1980,1.28929096165657
1980.25,1.28351764145052
1980.5,1.27167994833519
1980.75,1.27840451595061
1981,1.2751869109382
1981.25,1.26712815349552
1981.5,1.25471480477018
1981.75,1.25915947881573
1982,1.25911218435121
1982.25,1.25551457211366
1982.5,1.23775910011213
1982.75,1.24422454263041
1983,1.23405248974321
1983.25,1.23777561851435
1983.5,1.2259068896271
1983.75,1.22805092675747
1984,1.22748851153394
1984.25,1.22022928429842
1984.5,1.21481229134357
1984.75,1.21318990958949
1985,1.21359226176323
1985.25,1.20841575131094
1985.5,1.20036019413887
1985.75,1.20538204629956
1986,1.20097883760129
1986.25,1.19534266313776
1986.5,1.19216992732413
1986.75,1.19511859048464
1987,1.18839817628441
1987.25,1.18436374489608
1987.5,1.1712416255513
1987.75,1.1797017627052
1988,1.18503457617168
1988.25,1.17733462551095
1988.5,1.1631244943275
1988.75,1.17227056255783
1989,1.16847763101
1989.25,1.16283838637948
1989.5,1.16216396398156
1989.75,1.1610884796955
1990,1.15672166780887
1990.25,1.15378659260608
1990.5,1.14151620117569
1990.75,1.14463405324227
1991,1.14857111190877
1991.25,1.14429834050808
1991.5,1.13914345742188
1991.75,1.14524087743065
1992,1.14429716307061
1992.25,1.14169479829051
1992.5,1.13494429325728
1992.75,1.14402227278189
1993,1.1388446524625
1993.25,1.12560819841247
1993.5,1.1266029188816
1993.75,1.13568483695603
1994,1.12707140521054
1994.25,1.12366838430052
1994.5,1.11986042633007
1994.75,1.12010618957938
1995,1.12135898965611
1995.25,1.11787211341036
1995.5,1.114137353498
1995.75,1.113423253543
1996,1.1140776694142
1996.25,1.11363600754797
1996.5,1.10999729757062
