datetime,year,Ta,Tmax,Tmin,HR,VPD,R,WS,P,Ta_sd,Tmax_sd,Tmin_sd,HR_sd,VPD_sd,R_sd,WS_sd,P_sd
1999-12-31,1999,12.189065098218364,34.04,-6.877,71.98074577432618,0.5272822868655951,176.76942112836912,,311.606,7.814262621388883,7.814262621388883,7.814262621388883,20.110233724207994,0.5617250211060023,271.6800753747323,,0.42201442935179795
2000-12-31,2000,12.393299180327869,33.06,-6.2429999999999986,76.02327743624772,0.4598221176365909,173.8247533014572,,387.32116,6.99154361859784,6.99154361859784,6.99154361859784,20.10008017626328,0.5336789368446195,261.41716791910966,,0.4895739061563363
2001-12-31,2001,8.361875570776256,32.7,-10.35,63.572029252704034,0.5621764095229315,185.31048333333334,,228.4,7.746325742004489,7.746325742004489,7.746325742004489,20.765757037062574,0.5724193531154281,282.9302442383062,,0.26837004536078074
2002-12-31,2002,8.114365296803653,31.27,-5.471,67.05992314706266,0.4917237046845167,176.1029274543379,,288.8,6.728175028402233,6.728175028402233,6.728175028402233,20.431350443244988,0.49258827635353497,273.9342413548477,,0.2344657302871765
2003-12-31,2003,9.176355593607306,31.41,-10.06,68.8761114342676,0.5396978043651707,174.88840221990336,,562.05,7.869159801434607,7.869159801434607,7.869159801434607,23.69593892265268,0.6393663444932923,276.210980776194,,0.4622058076127225
2004-12-31,2004,12.096108691939891,33.06,-6.627,86.34112476592422,0.2545170928117632,176.6034613488684,3.436093394077449,640.811,7.7130972197126955,7.7130972197126955,7.7130972197126955,16.189764410038862,0.3831993271925773,271.3799246334603,2.0085007577053076,0.5207118562928611
2005-12-31,2005,11.72504497716895,36.76,-8.97,75.54362121016898,0.4813273503428918,183.18600861534227,3.7364440639269407,402.979,8.538997763812704,8.538997763812704,8.538997763812704,21.858710251572052,0.6247452972631529,279.7603308197264,1.9457904109621111,0.4273179312114479
2006-12-31,2006,12.966414497716894,36.45,-3.536,79.77801484018265,0.4636499541075605,179.9836660958904,3.7626997716894977,409.14300000000003,8.033739430340695,8.033739430340695,8.033739430340695,20.35941540451091,0.6374755868126852,278.07728287980285,1.9765406788601387,0.4187733563345349
2007-12-31,2007,12.109782191780821,36.87,-5.058,80.92102625570776,0.379800771096148,165.97269406392695,3.9216609589041096,507.853,7.402416743320247,7.402416743320247,7.402416743320247,19.682748892333752,0.5253526128636463,273.01339429999723,2.118706534701271,0.4189128647512564
2008-12-31,2008,11.649541097449909,33.43,-4.545,85.89838114754099,0.2842851789755749,172.76290630692168,3.856443533697632,420.687,7.309354474523978,7.309354474523978,7.309354474523978,17.5550036365427,0.4440106342449484,274.5544662053179,2.0090446543293226,0.33370123342377805
2009-12-31,2009,12.710466552511416,35.98,-6.071,83.80193493150685,0.38307489222931734,165.55320901826485,3.6628139269406392,478.839,8.371097002785769,8.371097002785769,8.371097002785769,18.51720813121871,0.5739624046891061,280.9319470995507,2.0534854805047416,0.407659066645489
2010-12-31,2010,10.964238470319636,34.36,-8.4,86.08926601784266,0.11691666802392497,189.22130376344086,3.8383702104695088,675.797,8.001609970055616,8.001609970055616,8.001609970055616,17.246965646159182,0.19742672233039618,293.8930849362547,2.007227746671955,0.628665683034835
2011-12-31,2011,13.109048630136988,37.64,-5.246,85.33714726027398,0.3368018329489995,181.1445336757991,3.78125,547.235,7.557038431906902,7.557038431906902,7.557038431906902,17.51193927762967,0.5261167481976168,279.19609992046986,1.9108941561244306,0.5370144299738746
2012-12-31,2012,12.727697176684883,37.75,-8.83,81.90274476320583,0.40086618824586145,133.71279542018857,3.6448599726775956,503.351,8.455102911607382,8.455102911607382,8.455102911607382,19.011700565394523,0.5969440364186919,248.7139989621091,1.8510623414256127,0.4778071503936768
2013-12-31,2013,11.441778627697227,29.892,-6.919,71.59794154583857,0.49831327249511015,194.63285144566302,15.15989641832023,731.89,7.690936593711181,7.690936593711181,7.690936593711181,18.65320122371625,0.5069962847254996,278.54842939501435,10.416926052304712,0.5964270265133492
2014-12-31,2014,12.873934132420091,32.74,-3.174,71.00078310502283,0.5402902730328442,183.8181506849315,13.688457142857143,726.9,6.872938364996213,6.872938364996213,6.872938364996213,19.325661936826,0.5375817176463547,271.3365719116556,9.915293279790454,0.6788111603576638
2015-12-31,2015,13.321756392694063,38.27,-7.949,62.96929132420091,0.7072416309898181,195.50753424657535,12.293332570905763,525.3,7.54287782425853,7.54287782425853,7.54287782425853,20.74069301346216,0.6450230131187487,283.8180180520912,9.400465535918517,0.7279121834322702
2016-12-31,2016,12.632006147540984,35.18,-3.927,67.78320355191258,0.6197442914452254,188.8446038251366,12.22200684150513,647.8,7.4638240528979996,7.4638240528979996,7.4638240528979996,20.882706052489848,0.6332857551481507,277.6706456624892,8.913831827129819,0.6370605088034107
2017-12-31,2017,12.90188892694064,35.76,-5.999,65.66119520547944,0.6625696938637184,196.6365296803653,11.667930363074104,445.9,7.9171516484792175,7.9171516484792175,7.9171516484792175,20.611182393557304,0.6420658290643795,283.2049715478307,8.973934767542236,0.45298579106427606
2018-12-31,2018,12.437215410958904,34.24,-6.7875,73.08481164383561,0.5181117544496907,176.49566210045663,12.063709307657039,1012.3,7.645908704527705,7.645908704527705,7.645908704527705,19.51944354418432,0.5629361859357747,265.85045198269586,9.060302964291298,0.8526025286973615
2019-12-31,2019,13.055406278538813,38.77,-4.56,64.69043344748859,0.6982352037821018,199.09406392694063,13.305473903483394,789.4,7.782043287873466,7.782043287873466,7.782043287873466,21.5129105853141,0.7047390323106102,287.26680252711265,9.516443803848231,1.2838802236073321
